,UN_Geosheme_Subregion,Decade,RCP,DO,Â°C,Disaster_Type,Human_Impact,Financial_Impact
0,Australia and New Zealand,2020,2.6,13,16,Drought,3539991,1586988000
1,Australia and New Zealand,2030,2.6,13,16,Drought,3539991,1586988000
2,Australia and New Zealand,2040,2.6,13,16,Drought,3539991,1586988000
3,Australia and New Zealand,2050,2.6,13,16,Drought,3539991,1586988000
4,Australia and New Zealand,2060,2.6,13,16,Drought,3539991,1586988000
5,Australia and New Zealand,2070,2.6,13,16,Drought,3539991,1586988000
6,Australia and New Zealand,2080,2.6,13,16,Drought,3539991,1586988000
7,Australia and New Zealand,2090,2.6,13,16,Drought,3539991,1586988000
8,Caribbean,2020,2.6,54,26,Drought,1108134,58644000
9,Caribbean,2030,2.6,54,26,Drought,1108134,58644000
10,Caribbean,2040,2.6,54,26,Drought,1108134,58644000
11,Caribbean,2050,2.6,54,26,Drought,1108134,58644000
12,Caribbean,2060,2.6,54,26,Drought,1108134,58644000
13,Caribbean,2070,2.6,54,26,Drought,1108134,58644000
14,Caribbean,2080,2.6,54,26,Drought,1108134,58644000
15,Caribbean,2090,2.6,54,26,Drought,1108134,58644000
16,Central America,2020,2.6,55,26,Drought,556600,128480000
17,Central America,2030,2.6,55,26,Drought,556600,128480000
18,Central America,2040,2.6,61,27,Drought,617320,142496000
19,Central America,2050,2.6,61,27,Drought,617320,142496000
20,Central America,2060,2.6,71,27,Drought,718520,165856000
21,Central America,2070,2.6,71,27,Drought,718520,165856000
22,Central America,2080,2.6,61,27,Drought,617320,142496000
23,Central America,2090,2.6,61,27,Drought,617320,142496000
24,Central Asia,2020,2.6,38,7,Drought,15200000,508250000
25,Central Asia,2030,2.6,38,7,Drought,15200000,508250000
26,Central Asia,2040,2.6,38,8,Drought,15200000,508250000
27,Central Asia,2050,2.6,38,8,Drought,15200000,508250000
28,Central Asia,2060,2.6,38,7,Drought,15200000,508250000
29,Central Asia,2070,2.6,38,7,Drought,15200000,508250000
30,Central Asia,2080,2.6,38,8,Drought,15200000,508250000
31,Central Asia,2090,2.6,38,8,Drought,15200000,508250000
32,Eastern Africa,2020,2.6,61,23,Drought,978501,84912000
33,Eastern Africa,2030,2.6,61,23,Drought,978501,84912000
34,Eastern Africa,2040,2.6,68,24,Drought,1090788,94656000
35,Eastern Africa,2050,2.6,68,24,Drought,1090788,94656000
36,Eastern Africa,2060,2.6,70,24,Drought,1122870,97440000
37,Eastern Africa,2070,2.6,70,24,Drought,1122870,97440000
38,Eastern Africa,2080,2.6,68,24,Drought,1090788,94656000
39,Eastern Africa,2090,2.6,68,24,Drought,1090788,94656000
40,Eastern Asia,2020,2.6,13,15,Drought,3881761,500539000
41,Eastern Asia,2030,2.6,13,15,Drought,3881761,500539000
42,Eastern Asia,2040,2.6,14,14,Drought,4180358,539042000
43,Eastern Asia,2050,2.6,14,14,Drought,4180358,539042000
44,Eastern Asia,2060,2.6,14,14,Drought,4180358,539042000
45,Eastern Asia,2070,2.6,14,14,Drought,4180358,539042000
46,Eastern Asia,2080,2.6,13,16,Drought,3881761,500539000
47,Eastern Asia,2090,2.6,13,16,Drought,3881761,500539000
48,Eastern Europe,2020,2.6,17,10,Drought,405382,765000000
49,Eastern Europe,2030,2.6,17,10,Drought,405382,765000000
50,Eastern Europe,2040,2.6,17,10,Drought,405382,765000000
51,Eastern Europe,2050,2.6,17,10,Drought,405382,765000000
52,Eastern Europe,2060,2.6,17,10,Drought,405382,765000000
53,Eastern Europe,2070,2.6,17,10,Drought,405382,765000000
54,Eastern Europe,2080,2.6,17,10,Drought,405382,765000000
55,Eastern Europe,2090,2.6,17,10,Drought,405382,765000000
56,Melanesia,2020,2.6,63,26,Drought,3421782,315000000
57,Melanesia,2030,2.6,63,26,Drought,3421782,315000000
58,Melanesia,2040,2.6,64,26,Drought,3476096,320000000
59,Melanesia,2050,2.6,64,26,Drought,3476096,320000000
60,Melanesia,2060,2.6,64,26,Drought,3476096,320000000
61,Melanesia,2070,2.6,64,26,Drought,3476096,320000000
62,Melanesia,2080,2.6,64,26,Drought,3476096,320000000
63,Melanesia,2090,2.6,64,26,Drought,3476096,320000000
64,Micronesia,2020,2.6,86,27,Drought,826202,84280000
65,Micronesia,2030,2.6,86,27,Drought,826202,84280000
66,Micronesia,2040,2.6,86,28,Drought,826202,84280000
67,Micronesia,2050,2.6,86,28,Drought,826202,84280000
68,Micronesia,2060,2.6,86,28,Drought,826202,84280000
69,Micronesia,2070,2.6,86,28,Drought,826202,84280000
70,Micronesia,2080,2.6,86,28,Drought,826202,84280000
71,Micronesia,2090,2.6,86,28,Drought,826202,84280000
72,Middle Africa,2020,2.6,73,25,Drought,2049548,106288000
73,Middle Africa,2030,2.6,73,25,Drought,2049548,106288000
74,Middle Africa,2040,2.6,73,25,Drought,2049548,106288000
75,Middle Africa,2050,2.6,73,25,Drought,2049548,106288000
76,Middle Africa,2060,2.6,77,25,Drought,2161852,112112000
77,Middle Africa,2070,2.6,77,25,Drought,2161852,112112000
78,Middle Africa,2080,2.6,73,25,Drought,2049548,106288000
79,Middle Africa,2090,2.6,73,25,Drought,2049548,106288000
80,Northern Africa,2020,2.6,39,23,Drought,5613660,923754000
81,Northern Africa,2030,2.6,39,23,Drought,5613660,923754000
82,Northern Africa,2040,2.6,69,24,Drought,9931860,1634334000
83,Northern Africa,2050,2.6,69,24,Drought,9931860,1634334000
84,Northern Africa,2060,2.6,68,24,Drought,9787920,1610648000
85,Northern Africa,2070,2.6,68,24,Drought,9787920,1610648000
86,Northern Africa,2080,2.6,70,24,Drought,10075800,1658020000
87,Northern Africa,2090,2.6,70,24,Drought,10075800,1658020000
88,Northern America,2020,2.6,51,3,Drought,66759,8037753000
89,Northern America,2030,2.6,51,3,Drought,66759,8037753000
90,Northern America,2040,2.6,51,3,Drought,66759,8037753000
91,Northern America,2050,2.6,51,3,Drought,66759,8037753000
92,Northern America,2060,2.6,51,3,Drought,66759,8037753000
93,Northern America,2070,2.6,51,3,Drought,66759,8037753000
94,Northern America,2080,2.6,51,3,Drought,66759,8037753000
95,Northern America,2090,2.6,51,3,Drought,66759,8037753000
96,Northern Europe,2020,2.6,37,8,Drought,0,3176339000
97,Northern Europe,2030,2.6,37,8,Drought,0,3176339000
98,Northern Europe,2040,2.6,22,8,Drought,0,1888634000
99,Northern Europe,2050,2.6,22,8,Drought,0,1888634000
100,Northern Europe,2060,2.6,37,8,Drought,0,3176339000
101,Northern Europe,2070,2.6,37,8,Drought,0,3176339000
102,Northern Europe,2080,2.6,37,8,Drought,0,3176339000
103,Northern Europe,2090,2.6,37,8,Drought,0,3176339000
104,Polynesia,2020,2.6,81,27,Drought,0,0
105,Polynesia,2030,2.6,81,27,Drought,0,0
106,Polynesia,2040,2.6,86,27,Drought,0,0
107,Polynesia,2050,2.6,86,27,Drought,0,0
108,Polynesia,2060,2.6,86,27,Drought,0,0
109,Polynesia,2070,2.6,86,27,Drought,0,0
110,Polynesia,2080,2.6,86,27,Drought,0,0
111,Polynesia,2090,2.6,86,27,Drought,0,0
112,South America,2020,2.6,0,23,Drought,0,0
113,South America,2030,2.6,0,23,Drought,0,0
114,South America,2040,2.6,41,23,Drought,1338035,454649000
115,South America,2050,2.6,41,23,Drought,1338035,454649000
116,South America,2060,2.6,39,23,Drought,1272765,432471000
117,South America,2070,2.6,39,23,Drought,1272765,432471000
118,South America,2080,2.6,39,23,Drought,1272765,432471000
119,South America,2090,2.6,39,23,Drought,1272765,432471000
120,South-Eastern Asia,2020,2.6,56,26,Drought,2082080,620144000
121,South-Eastern Asia,2030,2.6,56,26,Drought,2082080,620144000
122,South-Eastern Asia,2040,2.6,56,26,Drought,2082080,620144000
123,South-Eastern Asia,2050,2.6,56,26,Drought,2082080,620144000
124,South-Eastern Asia,2060,2.6,56,26,Drought,2082080,620144000
125,South-Eastern Asia,2070,2.6,56,26,Drought,2082080,620144000
126,South-Eastern Asia,2080,2.6,56,26,Drought,2082080,620144000
127,South-Eastern Asia,2090,2.6,56,26,Drought,2082080,620144000
128,Southern Africa,2020,2.6,5,19,Drought,112705,25730000
129,Southern Africa,2030,2.6,5,19,Drought,112705,25730000
130,Southern Africa,2040,2.6,5,19,Drought,112705,25730000
131,Southern Africa,2050,2.6,5,19,Drought,112705,25730000
132,Southern Africa,2060,2.6,5,19,Drought,112705,25730000
133,Southern Africa,2070,2.6,5,19,Drought,112705,25730000
134,Southern Africa,2080,2.6,5,19,Drought,112705,25730000
135,Southern Africa,2090,2.6,5,19,Drought,112705,25730000
136,Southern Asia,2020,2.6,53,26,Drought,40379958,655186000
137,Southern Asia,2030,2.6,53,26,Drought,40379958,655186000
138,Southern Asia,2040,2.6,72,25,Drought,54855792,890064000
139,Southern Asia,2050,2.6,72,25,Drought,54855792,890064000
140,Southern Asia,2060,2.6,76,25,Drought,57903336,939512000
141,Southern Asia,2070,2.6,76,25,Drought,57903336,939512000
142,Southern Asia,2080,2.6,53,26,Drought,40379958,655186000
143,Southern Asia,2090,2.6,53,26,Drought,40379958,655186000
144,Southern Europe,2020,2.6,8,14,Drought,1030280,563584000
145,Southern Europe,2030,2.6,8,14,Drought,1030280,563584000
146,Southern Europe,2040,2.6,8,14,Drought,1030280,563584000
147,Southern Europe,2050,2.6,8,14,Drought,1030280,563584000
148,Southern Europe,2060,2.6,8,14,Drought,1030280,563584000
149,Southern Europe,2070,2.6,8,14,Drought,1030280,563584000
150,Southern Europe,2080,2.6,8,14,Drought,1030280,563584000
151,Southern Europe,2090,2.6,8,14,Drought,1030280,563584000
152,Western Africa,2020,2.6,69,27,Drought,976419,34638000
153,Western Africa,2030,2.6,69,27,Drought,976419,34638000
154,Western Africa,2040,2.6,76,27,Drought,1075476,38152000
155,Western Africa,2050,2.6,76,27,Drought,1075476,38152000
156,Western Africa,2060,2.6,76,27,Drought,1075476,38152000
157,Western Africa,2070,2.6,76,27,Drought,1075476,38152000
158,Western Africa,2080,2.6,76,27,Drought,1075476,38152000
159,Western Africa,2090,2.6,76,27,Drought,1075476,38152000
160,Western Asia,2020,2.6,10,16,Drought,427500,50720000
161,Western Asia,2030,2.6,10,16,Drought,427500,50720000
162,Western Asia,2040,2.6,10,16,Drought,427500,50720000
163,Western Asia,2050,2.6,10,16,Drought,427500,50720000
164,Western Asia,2060,2.6,10,16,Drought,427500,50720000
165,Western Asia,2070,2.6,10,16,Drought,427500,50720000
166,Western Asia,2080,2.6,10,16,Drought,427500,50720000
167,Western Asia,2090,2.6,10,16,Drought,427500,50720000
168,Western Europe,2020,2.6,17,11,Drought,0,2737000000
169,Western Europe,2030,2.6,17,11,Drought,0,2737000000
170,Western Europe,2040,2.6,16,12,Drought,0,2576000000
171,Western Europe,2050,2.6,16,12,Drought,0,2576000000
172,Western Europe,2060,2.6,17,11,Drought,0,2737000000
173,Western Europe,2070,2.6,17,11,Drought,0,2737000000
174,Western Europe,2080,2.6,17,11,Drought,0,2737000000
175,Western Europe,2090,2.6,17,11,Drought,0,2737000000
176,Australia and New Zealand,2020,4.5,13,16,Drought,3539991,1586988000
177,Australia and New Zealand,2030,4.5,13,16,Drought,3539991,1586988000
178,Australia and New Zealand,2040,4.5,13,16,Drought,3539991,1586988000
179,Australia and New Zealand,2050,4.5,13,16,Drought,3539991,1586988000
180,Australia and New Zealand,2060,4.5,12,17,Drought,3267684,1464912000
181,Australia and New Zealand,2070,4.5,12,17,Drought,3267684,1464912000
182,Australia and New Zealand,2080,4.5,12,17,Drought,3267684,1464912000
183,Australia and New Zealand,2090,4.5,12,17,Drought,3267684,1464912000
184,Caribbean,2020,4.5,54,26,Drought,1108134,58644000
185,Caribbean,2030,4.5,54,26,Drought,1108134,58644000
186,Caribbean,2040,4.5,54,26,Drought,1108134,58644000
187,Caribbean,2050,4.5,54,26,Drought,1108134,58644000
188,Caribbean,2060,4.5,60,27,Drought,1231260,65160000
189,Caribbean,2070,4.5,60,27,Drought,1231260,65160000
190,Caribbean,2080,4.5,70,27,Drought,1436470,76020000
191,Caribbean,2090,4.5,70,27,Drought,1436470,76020000
192,Central America,2020,4.5,55,26,Drought,556600,128480000
193,Central America,2030,4.5,55,26,Drought,556600,128480000
194,Central America,2040,4.5,70,27,Drought,708400,163520000
195,Central America,2050,4.5,70,27,Drought,708400,163520000
196,Central America,2060,4.5,75,27,Drought,759000,175200000
197,Central America,2070,4.5,75,27,Drought,759000,175200000
198,Central America,2080,4.5,75,27,Drought,759000,175200000
199,Central America,2090,4.5,75,27,Drought,759000,175200000
200,Central Asia,2020,4.5,38,7,Drought,15200000,508250000
201,Central Asia,2030,4.5,38,7,Drought,15200000,508250000
202,Central Asia,2040,4.5,23,8,Drought,9200000,307625000
203,Central Asia,2050,4.5,23,8,Drought,9200000,307625000
204,Central Asia,2060,4.5,23,8,Drought,9200000,307625000
205,Central Asia,2070,4.5,23,8,Drought,9200000,307625000
206,Central Asia,2080,4.5,23,9,Drought,9200000,307625000
207,Central Asia,2090,4.5,23,9,Drought,9200000,307625000
208,Eastern Africa,2020,4.5,69,24,Drought,1106829,96048000
209,Eastern Africa,2030,4.5,69,24,Drought,1106829,96048000
210,Eastern Africa,2040,4.5,77,24,Drought,1235157,107184000
211,Eastern Africa,2050,4.5,77,24,Drought,1235157,107184000
212,Eastern Africa,2060,4.5,75,24,Drought,1203075,104400000
213,Eastern Africa,2070,4.5,75,24,Drought,1203075,104400000
214,Eastern Africa,2080,4.5,74,25,Drought,1187034,103008000
215,Eastern Africa,2090,4.5,74,25,Drought,1187034,103008000
216,Eastern Asia,2020,4.5,14,13,Drought,4180358,539042000
217,Eastern Asia,2030,4.5,14,13,Drought,4180358,539042000
218,Eastern Asia,2040,4.5,14,14,Drought,4180358,539042000
219,Eastern Asia,2050,4.5,14,14,Drought,4180358,539042000
220,Eastern Asia,2060,4.5,13,15,Drought,3881761,500539000
221,Eastern Asia,2070,4.5,13,15,Drought,3881761,500539000
222,Eastern Asia,2080,4.5,13,15,Drought,3881761,500539000
223,Eastern Asia,2090,4.5,13,15,Drought,3881761,500539000
224,Eastern Europe,2020,4.5,17,10,Drought,405382,765000000
225,Eastern Europe,2030,4.5,17,10,Drought,405382,765000000
226,Eastern Europe,2040,4.5,17,10,Drought,405382,765000000
227,Eastern Europe,2050,4.5,17,10,Drought,405382,765000000
228,Eastern Europe,2060,4.5,17,11,Drought,405382,765000000
229,Eastern Europe,2070,4.5,17,11,Drought,405382,765000000
230,Eastern Europe,2080,4.5,17,11,Drought,405382,765000000
231,Eastern Europe,2090,4.5,17,11,Drought,405382,765000000
232,Melanesia,2020,4.5,64,26,Drought,3476096,320000000
233,Melanesia,2030,4.5,64,26,Drought,3476096,320000000
234,Melanesia,2040,4.5,64,26,Drought,3476096,320000000
235,Melanesia,2050,4.5,64,26,Drought,3476096,320000000
236,Melanesia,2060,4.5,64,26,Drought,3476096,320000000
237,Melanesia,2070,4.5,64,26,Drought,3476096,320000000
238,Melanesia,2080,4.5,69,26,Drought,3747666,345000000
239,Melanesia,2090,4.5,69,26,Drought,3747666,345000000
240,Micronesia,2020,4.5,86,27,Drought,826202,84280000
241,Micronesia,2030,4.5,86,27,Drought,826202,84280000
242,Micronesia,2040,4.5,86,28,Drought,826202,84280000
243,Micronesia,2050,4.5,86,28,Drought,826202,84280000
244,Micronesia,2060,4.5,86,28,Drought,826202,84280000
245,Micronesia,2070,4.5,86,28,Drought,826202,84280000
246,Micronesia,2080,4.5,86,28,Drought,826202,84280000
247,Micronesia,2090,4.5,86,28,Drought,826202,84280000
248,Middle Africa,2020,4.5,73,25,Drought,2049548,106288000
249,Middle Africa,2030,4.5,73,25,Drought,2049548,106288000
250,Middle Africa,2040,4.5,70,25,Drought,1965320,101920000
251,Middle Africa,2050,4.5,70,25,Drought,1965320,101920000
252,Middle Africa,2060,4.5,54,26,Drought,1516104,78624000
253,Middle Africa,2070,4.5,54,26,Drought,1516104,78624000
254,Middle Africa,2080,4.5,54,26,Drought,1516104,78624000
255,Middle Africa,2090,4.5,54,26,Drought,1516104,78624000
256,Northern Africa,2020,4.5,60,23,Drought,8636400,1421160000
257,Northern Africa,2030,4.5,60,23,Drought,8636400,1421160000
258,Northern Africa,2040,4.5,75,24,Drought,10795500,1776450000
259,Northern Africa,2050,4.5,75,24,Drought,10795500,1776450000
260,Northern Africa,2060,4.5,75,24,Drought,10795500,1776450000
261,Northern Africa,2070,4.5,75,24,Drought,10795500,1776450000
262,Northern Africa,2080,4.5,74,25,Drought,10651560,1752764000
263,Northern Africa,2090,4.5,74,25,Drought,10651560,1752764000
264,Northern America,2020,4.5,51,3,Drought,66759,8037753000
265,Northern America,2030,4.5,51,3,Drought,66759,8037753000
266,Northern America,2040,4.5,51,3,Drought,66759,8037753000
267,Northern America,2050,4.5,51,3,Drought,66759,8037753000
268,Northern America,2060,4.5,51,4,Drought,66759,8037753000
269,Northern America,2070,4.5,51,4,Drought,66759,8037753000
270,Northern America,2080,4.5,51,4,Drought,66759,8037753000
271,Northern America,2090,4.5,51,4,Drought,66759,8037753000
272,Northern Europe,2020,4.5,37,8,Drought,0,3176339000
273,Northern Europe,2030,4.5,37,8,Drought,0,3176339000
274,Northern Europe,2040,4.5,22,8,Drought,0,1888634000
275,Northern Europe,2050,4.5,22,8,Drought,0,1888634000
276,Northern Europe,2060,4.5,22,8,Drought,0,1888634000
277,Northern Europe,2070,4.5,22,8,Drought,0,1888634000
278,Northern Europe,2080,4.5,22,9,Drought,0,1888634000
279,Northern Europe,2090,4.5,22,9,Drought,0,1888634000
280,Polynesia,2020,4.5,86,27,Drought,0,0
281,Polynesia,2030,4.5,86,27,Drought,0,0
282,Polynesia,2040,4.5,86,27,Drought,0,0
283,Polynesia,2050,4.5,86,27,Drought,0,0
284,Polynesia,2060,4.5,86,28,Drought,0,0
285,Polynesia,2070,4.5,86,28,Drought,0,0
286,Polynesia,2080,4.5,86,28,Drought,0,0
287,Polynesia,2090,4.5,86,28,Drought,0,0
288,South America,2020,4.5,41,23,Drought,1338035,454649000
289,South America,2030,4.5,41,23,Drought,1338035,454649000
290,South America,2040,4.5,69,24,Drought,2251815,765141000
291,South America,2050,4.5,69,24,Drought,2251815,765141000
292,South America,2060,4.5,75,24,Drought,2447625,831675000
293,South America,2070,4.5,75,24,Drought,2447625,831675000
294,South America,2080,4.5,77,24,Drought,2512895,853853000
295,South America,2090,4.5,77,24,Drought,2512895,853853000
296,South-Eastern Asia,2020,4.5,56,26,Drought,2082080,620144000
297,South-Eastern Asia,2030,4.5,56,26,Drought,2082080,620144000
298,South-Eastern Asia,2040,4.5,71,27,Drought,2639780,786254000
299,South-Eastern Asia,2050,4.5,71,27,Drought,2639780,786254000
300,South-Eastern Asia,2060,4.5,71,27,Drought,2639780,786254000
301,South-Eastern Asia,2070,4.5,71,27,Drought,2639780,786254000
302,South-Eastern Asia,2080,4.5,70,27,Drought,2602600,775180000
303,South-Eastern Asia,2090,4.5,70,27,Drought,2602600,775180000
304,Southern Africa,2020,4.5,5,19,Drought,112705,25730000
305,Southern Africa,2030,4.5,5,19,Drought,112705,25730000
306,Southern Africa,2040,4.5,24,20,Drought,540984,123504000
307,Southern Africa,2050,4.5,24,20,Drought,540984,123504000
308,Southern Africa,2060,4.5,22,20,Drought,495902,113212000
309,Southern Africa,2070,4.5,22,20,Drought,495902,113212000
310,Southern Africa,2080,4.5,22,20,Drought,495902,113212000
311,Southern Africa,2090,4.5,22,20,Drought,495902,113212000
312,Southern Asia,2020,4.5,72,25,Drought,54855792,890064000
313,Southern Asia,2030,4.5,72,25,Drought,54855792,890064000
314,Southern Asia,2040,4.5,53,25,Drought,40379958,655186000
315,Southern Asia,2050,4.5,53,25,Drought,40379958,655186000
316,Southern Asia,2060,4.5,53,26,Drought,40379958,655186000
317,Southern Asia,2070,4.5,53,26,Drought,40379958,655186000
318,Southern Asia,2080,4.5,53,26,Drought,40379958,655186000
319,Southern Asia,2090,4.5,53,26,Drought,40379958,655186000
320,Southern Europe,2020,4.5,8,14,Drought,1030280,563584000
321,Southern Europe,2030,4.5,8,14,Drought,1030280,563584000
322,Southern Europe,2040,4.5,8,14,Drought,1030280,563584000
323,Southern Europe,2050,4.5,8,14,Drought,1030280,563584000
324,Southern Europe,2060,4.5,7,15,Drought,901495,493136000
325,Southern Europe,2070,4.5,7,15,Drought,901495,493136000
326,Southern Europe,2080,4.5,7,15,Drought,901495,493136000
327,Southern Europe,2090,4.5,7,15,Drought,901495,493136000
328,Western Africa,2020,4.5,69,27,Drought,976419,34638000
329,Western Africa,2030,4.5,69,27,Drought,976419,34638000
330,Western Africa,2040,4.5,76,27,Drought,1075476,38152000
331,Western Africa,2050,4.5,76,27,Drought,1075476,38152000
332,Western Africa,2060,4.5,76,28,Drought,1075476,38152000
333,Western Africa,2070,4.5,76,28,Drought,1075476,38152000
334,Western Africa,2080,4.5,76,28,Drought,1075476,38152000
335,Western Africa,2090,4.5,76,28,Drought,1075476,38152000
336,Western Asia,2020,4.5,10,16,Drought,427500,50720000
337,Western Asia,2030,4.5,10,16,Drought,427500,50720000
338,Western Asia,2040,4.5,10,16,Drought,427500,50720000
339,Western Asia,2050,4.5,10,16,Drought,427500,50720000
340,Western Asia,2060,4.5,12,17,Drought,513000,60864000
341,Western Asia,2070,4.5,12,17,Drought,513000,60864000
342,Western Asia,2080,4.5,12,17,Drought,513000,60864000
343,Western Asia,2090,4.5,12,17,Drought,513000,60864000
344,Western Europe,2020,4.5,17,11,Drought,0,2737000000
345,Western Europe,2030,4.5,17,11,Drought,0,2737000000
346,Western Europe,2040,4.5,17,11,Drought,0,2737000000
347,Western Europe,2050,4.5,17,11,Drought,0,2737000000
348,Western Europe,2060,4.5,17,11,Drought,0,2737000000
349,Western Europe,2070,4.5,17,11,Drought,0,2737000000
350,Western Europe,2080,4.5,16,12,Drought,0,2576000000
351,Western Europe,2090,4.5,16,12,Drought,0,2576000000
