,UN_Geosheme_Subregion,Decade,DO,Human_Impact,Financial_Impact,Â°C,RCP,Disaster_Type
0,Australia and New Zealand,1960,1,0,600000,21,,Drought
1,Australia and New Zealand,1970,4,0,0,20,,Drought
2,Australia and New Zealand,1980,1,80000,6000000,21,,Drought
3,Australia and New Zealand,1990,3,7000000,2073000,17,,Drought
4,Australia and New Zealand,2000,2,0,2000000,22,,Drought
5,Australia and New Zealand,2010,2,0,2023000,10,,Drought
6,Caribbean,1910,1,0,0,24,,Drought
7,Caribbean,1960,3,550217,6500,24,,Drought
8,Caribbean,1970,2,957000,0,24,,Drought
9,Caribbean,1980,5,178000,0,25,,Drought
10,Caribbean,1990,5,1820000,182000,25,,Drought
11,Caribbean,2000,4,35000,9139,25,,Drought
12,Caribbean,2010,9,4791545,86000,26,,Drought
13,Central America,1960,1,100000,0,23,,Drought
14,Central America,1970,3,300000,7000,22,,Drought
15,Central America,1980,4,154000,0,23,,Drought
16,Central America,1990,12,430000,1633000,23,,Drought
17,Central America,2000,12,3662221,273400,24,,Drought
18,Central America,2010,16,8469805,553669,24,,Drought
19,Central Asia,2000,4,6400000,107000,6,,Drought
20,Eastern Africa,1960,7,4238483,1200,23,,Drought
21,Eastern Africa,1970,8,11640000,77500,23,,Drought
22,Eastern Africa,1980,25,33885767,1000,23,,Drought
23,Eastern Africa,1990,26,65766949,292200,23,,Drought
24,Eastern Africa,2000,43,78608475,0,24,,Drought
25,Eastern Africa,2010,27,74208179,1900000,24,,Drought
26,Eastern Asia,1920,2,20000000,0,6,,Drought
27,Eastern Asia,1960,4,2800000,27118,15,,Drought
28,Eastern Asia,1970,6,6000000,0,15,,Drought
29,Eastern Asia,1980,5,49000000,942887,12,,Drought
30,Eastern Asia,1990,8,133750000,13990300,6,,Drought
31,Eastern Asia,2000,18,241974000,8750115,6,,Drought
32,Eastern Asia,2010,11,110826000,11636000,6,,Drought
33,Eastern Europe,1920,1,5000000,0,5,,Drought
34,Eastern Europe,1980,3,0,500000,9,,Drought
35,Eastern Europe,1990,3,0,384000,0,,Drought
36,Eastern Europe,2000,6,1210394,1006000,8,,Drought
37,Eastern Europe,2010,5,5800,4230000,2,,Drought
38,Melanesia,1980,2,71000,30000,24,,Drought
39,Melanesia,1990,4,763835,0,25,,Drought
40,Melanesia,2010,3,2587000,60000,25,,Drought
41,Micronesia,1990,2,112800,0,27,,Drought
42,Micronesia,2010,3,127384,4900,28,,Drought
43,Middle Africa,1910,1,0,0,26,,Drought
44,Middle Africa,1940,1,0,0,27,,Drought
45,Middle Africa,1960,2,900000,83000,26,,Drought
46,Middle Africa,1970,2,900000,1500,24,,Drought
47,Middle Africa,1980,8,4373000,0,23,,Drought
48,Middle Africa,1990,4,947900,0,25,,Drought
49,Middle Africa,2000,6,3225000,0,24,,Drought
50,Middle Africa,2010,5,6752700,0,24,,Drought
51,Northern Africa,1960,1,0,0,17,,Drought
52,Northern Africa,1970,2,168400,100,18,,Drought
53,Northern Africa,1980,7,11850000,0,22,,Drought
54,Northern Africa,1990,4,9635000,900000,25,,Drought
55,Northern Africa,2000,2,6300000,0,28,,Drought
56,Northern Africa,2010,3,7600000,0,28,,Drought
57,Northern America,1930,2,25000,0,0,,Drought
58,Northern America,1960,1,0,0,-7,,Drought
59,Northern America,1970,1,0,3000000,-6,,Drought
60,Northern America,1980,3,30000,1810000,-1,,Drought
61,Northern America,1990,3,0,2435000,7,,Drought
62,Northern America,2000,4,0,4700000,7,,Drought
63,Northern America,2010,7,0,37700000,8,,Drought
64,Northern Europe,1990,2,0,804600,7,,Drought
65,Northern Europe,2000,1,0,225573,7,,Drought
66,Northern Europe,2010,1,0,0,7,,Drought
67,Polynesia,2010,3,0,0,27,,Drought
68,South America,1960,5,1018004,65000,18,,Drought
69,South America,1970,5,15000000,2300100,24,,Drought
70,South America,1980,10,23833049,1616600,23,,Drought
71,South America,1990,12,14414360,887000,21,,Drought
72,South America,2000,18,2502490,1771700,22,,Drought
73,South America,2010,16,33697235,10924700,23,,Drought
74,South-Eastern Asia,1960,1,204000,0,25,,Drought
75,South-Eastern Asia,1970,4,7020885,71200,25,,Drought
76,South-Eastern Asia,1980,11,4428260,0,25,,Drought
77,South-Eastern Asia,1990,12,21844282,662000,25,,Drought
78,South-Eastern Asia,2000,12,18275000,703873,26,,Drought
79,South-Eastern Asia,2010,15,25935847,10135599,26,,Drought
80,Southern Africa,1960,4,329000,2000,18,,Drought
81,Southern Africa,1970,1,87600,2000,21,,Drought
82,Southern Africa,1980,9,3707300,0,18,,Drought
83,Southern Africa,1990,8,1419700,1052739,19,,Drought
84,Southern Africa,2000,7,17700000,0,18,,Drought
85,Southern Africa,2010,13,7999159,1753000,19,,Drought
86,Southern Asia,1900,1,0,0,22,,Drought
87,Southern Asia,1940,3,0,0,24,,Drought
88,Southern Asia,1960,7,101339000,100200,17,,Drought
89,Southern Asia,1970,9,214652000,310000,21,,Drought
90,Southern Asia,1980,9,430006000,0,26,,Drought
91,Southern Asia,1990,4,40375000,4089400,21,,Drought
92,Southern Asia,2000,10,356263000,1498772,19,,Drought
93,Southern Asia,2010,9,362853003,4287000,24,,Drought
94,Southern Europe,1980,4,3200000,3055000,13,,Drought
95,Southern Europe,1990,7,6010000,10510000,13,,Drought
96,Southern Europe,2000,5,62575,1966136,12,,Drought
97,Southern Europe,2010,2,0,3490000,12,,Drought
98,Western Africa,1900,3,0,0,27,,Drought
99,Western Africa,1910,8,32000,0,27,,Drought
100,Western Africa,1920,1,0,0,22,,Drought
101,Western Africa,1940,9,0,0,26,,Drought
102,Western Africa,1960,9,3901000,109300,27,,Drought
103,Western Africa,1970,14,6981000,326300,27,,Drought
104,Western Africa,1980,18,28750000,71754,27,,Drought
105,Western Africa,1990,11,5114697,0,27,,Drought
106,Western Africa,2000,13,16955558,0,28,,Drought
107,Western Africa,2010,15,25455604,0,28,,Drought
108,Western Asia,1960,2,2500000,12000,21,,Drought
109,Western Asia,1970,3,0,0,18,,Drought
110,Western Asia,1990,5,509000,75000,20,,Drought
111,Western Asia,2000,6,2443000,400000,13,,Drought
112,Western Europe,1970,1,0,0,10,,Drought
113,Western Europe,1980,2,0,1600000,11,,Drought
114,Western Europe,1990,2,0,10000,11,,Drought
